(0.0000, 10.0000)|(0.1500, 0.1500)#9999#0
(67.4289, 108.6751)|(2.0000, 2.0000)#9796#1
(75.3913, 105.8665)|(2.0000, 2.0000)#9795#1
(-40.7384, 13.2289)|(2.0000, 2.0000)#9794#0
(-40.5875, 15.6436)|(0.1500, 0.1500)#9793#0
(-40.5875, 15.6436)|(0.1500, 0.1500)#9792#1
(50.4618, 37.2677)|(0.3400, 0.3400)#9787#0
(-38.5193, 71.6482)|(0.3400, 0.3400)#9786#0
(-40.3969, 75.6880)|(0.3400, 0.3400)#9785#0
(-43.1644, 80.9568)|(0.3400, 0.3400)#9784#0
(-40.7460, 84.7455)|(0.3400, 0.3400)#9783#0
(-52.1012, 52.6758)|(0.3400, 0.3400)#9782#1
(-47.8650, 53.9413)|(0.3400, 0.3400)#9781#1
(-35.3744, 52.7120)|(0.3400, 0.3400)#9780#1
(-46.1913, 58.1573)|(0.3400, 0.3400)#9779#1
(-41.5922, 54.4811)|(0.3400, 0.3400)#9778#1
(-41.2388, 48.8976)|(0.3400, 0.3400)#9777#1
(-9.0473, 13.4483)|(0.1500, 0.1500)#9776#0
(-39.8830, 67.5255)|(0.1500, 0.1500)#9775#0
(-38.1030, 63.5237)|(0.1500, 0.1500)#9774#0
(-38.1030, 63.5237)|(0.1500, 0.1500)#9773#1
(-39.9817, 58.8977)|(0.3400, 0.3400)#9772#1
(-32.9089, 56.8551)|(0.3400, 0.3400)#9771#1
(4.5331, 4.3721)|(0.1500, 0.1500)#9770#0
(53.8948, 12.5632)|(0.1500, 0.1500)#9769#0
(69.0290, 65.3804)|(0.1500, 0.1500)#9737#0
(62.2103, 73.7372)|(0.1500, 0.1500)#9736#0
(64.0354, 78.3013)|(0.1500, 0.1500)#9735#0
(69.7046, 78.2671)|(0.1500, 0.1500)#9734#0
(73.3826, 82.9406)|(0.1500, 0.1500)#9733#0
(64.0199, 87.1802)|(0.1500, 0.1500)#9732#0
(59.5150, 82.9184)|(0.1500, 0.1500)#9731#0
(24.2152, 61.0153)|(0.1500, 0.1500)#9723#0
(78.2167, 109.2488)|(0.1500, 0.1500)#9722#0
(70.5320, 113.7033)|(0.1500, 0.1500)#9721#0
(59.1655, 92.1021)|(0.1500, 0.1500)#9720#0
(70.6225, 113.7066)|(0.1500, 0.1500)#9719#1
(58.1982, 113.7726)|(0.1500, 0.1500)#9718#1
(52.4330, 30.3019)|(0.1500, 0.1500)#9668#0
(-60.7123, 33.3850)|(0.1500, 0.1500)#9667#0
(-75.1375, 22.7933)|(0.1500, 0.1500)#9666#0
(-76.2294, 26.8217)|(0.1500, 0.1500)#9665#0
(-72.0506, 25.9146)|(0.1500, 0.1500)#9664#0
(-64.5205, 37.4130)|(0.1500, 0.1500)#9663#0
(-83.7129, 37.3672)|(0.1500, 0.1500)#9662#0
(-87.4457, 33.4866)|(0.1500, 0.1500)#9661#0
(13.7304, 19.7445)|(0.1500, 0.1500)#9654#0
(0.4139, 23.0542)|(0.1500, 0.1500)#9653#0
(-9.8458, 22.8536)|(0.1500, 0.1500)#9652#0
(-13.5434, 32.7873)|(0.1500, 0.1500)#9651#0
(0.0484, 47.7456)|(0.1500, 0.1500)#9650#0
(0.6967, 53.6841)|(0.1500, 0.1500)#9649#0
(83.7940, 52.6756)|(0.1500, 0.1500)#9648#0
(88.5380, 50.5447)|(0.1500, 0.1500)#9647#0
(77.7791, 86.0702)|(0.1500, 0.1500)#9646#0
(-33.1727, 50.6848)|(0.1500, 0.1500)#9645#0
(-48.2911, 50.6663)|(0.1500, 0.1500)#9644#0
(-0.3344, 42.5043)|(0.1500, 0.1500)#9643#1
(3.2280, 48.5202)|(0.1500, 0.1500)#9642#1
(10.6806, 48.1831)|(0.1500, 0.1500)#9641#1
(-38.8473, 98.3317)|(0.1500, 0.1500)#9640#1
(-42.3717, 85.9090)|(0.1500, 0.1500)#9639#1
(-41.7280, 81.0897)|(0.1500, 0.1500)#9638#1
(60.4146, 77.9217)|(0.1500, 0.1500)#9637#1
(60.3519, 82.5769)|(0.1500, 0.1500)#9636#1
(60.2876, 87.0939)|(0.1500, 0.1500)#9635#1
(83.1713, 52.4299)|(0.1500, 0.1500)#9634#1
(76.0257, 52.6210)|(0.1500, 0.1500)#9633#1
(-74.7959, 12.6517)|(0.1500, 0.1500)#9632#1
(-7.7902, 54.0911)|(0.1500, 0.1500)#9631#1
(-24.3360, 174.3289)|(0.1500, 0.1500)#9630#0
(-24.3360, 174.3289)|(0.1500, 0.1500)#9629#1
(-48.7684, 107.5602)|(0.1500, 0.1500)#9628#0
(-11.8065, 174.1883)|(0.1500, 0.1500)#9627#0
(94.5646, 48.9900)|(0.1500, 0.1500)#9626#0
(98.5548, 52.2982)|(0.1500, 0.1500)#9625#0
(103.3566, 56.0112)|(0.1500, 0.1500)#9624#0
(109.3972, 58.5581)|(0.1500, 0.1500)#9623#0
(146.2545, 41.0903)|(2.0000, 2.0000)#9622#0
(128.0333, 63.1765)|(2.0000, 2.0000)#9579#0
(168.6844, 19.5172)|(2.0000, 2.0000)#9578#0
(148.6891, 62.5209)|(2.0000, 2.0000)#9577#0
(8.1317, 8.3608)|(0.1500, 0.1500)#9576#0
(-5.2292, 140.7693)|(0.1500, 0.1500)#9575#0
(-13.5888, 143.5407)|(0.1500, 0.1500)#9574#0
(-32.1139, 154.0616)|(0.1500, 0.1500)#9573#0
(-29.3745, 160.1088)|(0.1500, 0.1500)#9572#0
(-10.2967, 160.9973)|(0.1500, 0.1500)#9571#0
(-4.8590, 160.5921)|(0.1500, 0.1500)#9570#0
(19.5498, 146.0287)|(0.1500, 0.1500)#9569#0
(18.8365, 150.7523)|(0.1500, 0.1500)#9568#0
(-47.9897, 146.4127)|(0.1500, 0.1500)#9567#0
(-42.8247, 143.9927)|(0.1500, 0.1500)#9566#0
(-18.4927, 141.8249)|(0.1500, 0.1500)#9565#0
(9.8487, 169.2816)|(0.1500, 0.1500)#9562#0
(26.5280, 172.3654)|(0.1500, 0.1500)#9561#0
(-60.2993, 36.9886)|(0.1500, 0.1500)#9555#1
(64.2479, 91.7714)|(0.1500, 0.1500)#9554#0
(69.6693, 86.9860)|(0.1500, 0.1500)#9553#0
(-45.1157, 116.7381)|(0.1500, 0.1500)#9518#1
(-51.4755, 137.3451)|(0.1500, 0.1500)#9517#1
(-35.2543, 147.4132)|(0.1500, 0.1500)#9504#1
(-43.4478, 152.8736)|(0.1500, 0.1500)#9503#1
(-40.8158, 163.5253)|(0.1500, 0.1500)#9502#1
(-43.5663, 168.5711)|(0.1500, 0.1500)#9501#1
(-35.7192, 168.8948)|(0.1500, 0.1500)#9500#1
(-23.7043, 166.5502)|(0.1500, 0.1500)#9499#1
(-15.4789, 169.9451)|(0.1500, 0.1500)#9498#1
(176.1964, 73.6959)|(0.1500, 0.1500)#9458#1
(171.1911, 73.6861)|(0.1500, 0.1500)#9457#1
(166.3292, 73.6097)|(0.1500, 0.1500)#9456#1
(161.1954, 73.5981)|(0.1500, 0.1500)#9455#1
(156.2698, 73.7266)|(0.1500, 0.1500)#9454#1
(156.3256, 68.6223)|(0.1500, 0.1500)#9453#1
(161.3273, 68.5636)|(0.1500, 0.1500)#9452#1
(166.3308, 68.6423)|(0.1500, 0.1500)#9451#1
(171.2356, 68.5904)|(0.1500, 0.1500)#9450#1
(176.2417, 68.6004)|(0.1500, 0.1500)#9449#1
(176.2789, 63.5725)|(0.1500, 0.1500)#9448#1
(171.1918, 63.6324)|(0.1500, 0.1500)#9447#1
(166.2469, 63.6944)|(0.1500, 0.1500)#9446#1
(161.1709, 63.6164)|(0.1500, 0.1500)#9445#1
(156.2351, 63.6095)|(0.1500, 0.1500)#9444#1
(156.1847, 58.6092)|(0.1500, 0.1500)#9443#1
(161.2489, 58.6199)|(0.1500, 0.1500)#9442#1
(166.1801, 58.6284)|(0.1500, 0.1500)#9441#1
(171.2527, 58.6392)|(0.1500, 0.1500)#9440#1
(176.2607, 58.6488)|(0.1500, 0.1500)#9439#1
(176.2979, 53.6170)|(0.1500, 0.1500)#9438#1
(171.2803, 53.5403)|(0.1500, 0.1500)#9437#1
(166.1270, 53.5997)|(0.1500, 0.1500)#9436#1
(161.2548, 53.5251)|(0.1500, 0.1500)#9435#1
(156.1796, 53.5166)|(0.1500, 0.1500)#9434#1
(156.2043, 48.6451)|(0.1500, 0.1500)#9433#1
(161.2053, 48.5165)|(0.1500, 0.1500)#9432#1
(166.2077, 48.5943)|(0.1500, 0.1500)#9431#1
(171.3511, 48.6742)|(0.1500, 0.1500)#9430#1
(176.2268, 48.6122)|(0.1500, 0.1500)#9429#1
(28.3947, 43.8861)|(0.1500, 0.1500)#9428#1
(151.2025, 76.2347)|(0.1500, 0.1500)#9427#1
(-51.2614, 176.1659)|(0.1500, 0.1500)#9426#0
(-46.0789, 176.1718)|(0.1500, 0.1500)#9425#0
(-41.2378, 176.1720)|(0.1500, 0.1500)#9424#0
(-36.2438, 176.0930)|(0.1500, 0.1500)#9423#0
(-36.2319, 171.1754)|(0.1500, 0.1500)#9422#0
(-41.3130, 171.1644)|(0.1500, 0.1500)#9421#0
(-46.2428, 171.1567)|(0.1500, 0.1500)#9420#0
(-51.3490, 171.0632)|(0.1500, 0.1500)#9419#0
(-51.3567, 166.1133)|(0.1500, 0.1500)#9418#0
(-46.2426, 166.1310)|(0.1500, 0.1500)#9417#0
(-41.2240, 166.1469)|(0.1500, 0.1500)#9416#0
(-36.2169, 166.0806)|(0.1500, 0.1500)#9415#0
(-36.1245, 161.2213)|(0.1500, 0.1500)#9414#0
(-41.2994, 161.1129)|(0.1500, 0.1500)#9413#0
(-46.2436, 161.1748)|(0.1500, 0.1500)#9412#0
(-51.1990, 161.1542)|(0.1500, 0.1500)#9411#0
(-51.2353, 156.1484)|(0.1500, 0.1500)#9410#0
(-46.1240, 156.0798)|(0.1500, 0.1500)#9409#0
(-41.1109, 156.1744)|(0.1500, 0.1500)#9408#0
(-36.1898, 156.1029)|(0.1500, 0.1500)#9407#0
(-36.1794, 151.2490)|(0.1500, 0.1500)#9406#0
(-41.0217, 151.1515)|(0.1500, 0.1500)#9405#0
(-46.2884, 151.0451)|(0.1500, 0.1500)#9404#0
(-51.2403, 151.0280)|(0.1500, 0.1500)#9403#0
(7.8372, 385.3777)|(2.0000, 2.0000)#9402#0
(7.8829, 379.2464)|(2.0000, 2.0000)#9401#0
(7.8517, 379.0109)|(2.0000, 2.0000)#9400#1
(7.9538, 385.0951)|(2.0000, 2.0000)#9399#1
(10.5060, 224.9305)|(0.1500, 0.1500)#9382#0
(6.0897, 235.5386)|(0.1500, 0.1500)#9381#0
(10.6140, 237.9438)|(0.1500, 0.1500)#9380#0
(9.7506, 244.4354)|(0.1500, 0.1500)#9379#0
(5.6660, 252.0241)|(0.1500, 0.1500)#9378#0
(6.1537, 257.3253)|(0.1500, 0.1500)#9377#0
(10.3608, 270.6405)|(0.1500, 0.1500)#9376#0
(7.8620, 276.1125)|(0.1500, 0.1500)#9375#0
(7.8620, 276.1125)|(0.1500, 0.1500)#9374#1
(9.4490, 280.2213)|(0.1500, 0.1500)#9373#1
(8.4283, 285.0542)|(0.1500, 0.1500)#9372#1
(8.0951, 299.6729)|(0.1500, 0.1500)#9371#1
(7.8112, 328.2628)|(0.1500, 0.1500)#9370#1
(7.8892, 333.0120)|(0.1500, 0.1500)#9369#1
(7.8892, 333.0120)|(0.1500, 0.1500)#9368#0
(7.8443, 286.0610)|(2.0000, 2.0000)#9367#0
(7.8534, 293.6014)|(2.0000, 2.0000)#9366#0
(7.6870, 300.1804)|(2.0000, 2.0000)#9365#0
(7.9651, 307.0710)|(2.0000, 2.0000)#9364#0
(7.8087, 313.7552)|(2.0000, 2.0000)#9363#0
(7.8510, 320.3772)|(2.0000, 2.0000)#9362#0
(5.5338, 370.9597)|(0.1500, 0.1500)#9361#0
(10.3354, 370.5605)|(0.1500, 0.1500)#9360#0
(6.0304, 288.9355)|(0.1500, 0.1500)#9349#1
(7.0384, 294.1914)|(0.1500, 0.1500)#9348#1
(5.0087, 264.5162)|(0.1500, 0.1500)#9347#0
(8.9834, 266.2120)|(0.1500, 0.1500)#9346#0
(9.1859, 261.0952)|(0.1500, 0.1500)#9345#0
(5.2416, 230.9168)|(0.1500, 0.1500)#9344#0
(12.8158, 12.6816)|(0.1500, 0.1500)#9324#0
(-59.6726, 37.7890)|(0.1500, 0.1500)#9323#0
(-47.7187, 20.1532)|(0.1500, 0.1500)#9307#0
(59.2516, 113.5651)|(0.1500, 0.1500)#9306#0
(6.5469, 20.7392)|(0.1500, 0.1500)#9133#0
(12.6706, 101.3615)|(0.1500, 0.1500)#9132#0
(64.8938, 113.5789)|(0.1500, 0.1500)#9131#0
(64.8938, 113.5789)|(0.1500, 0.1500)#9130#1
(-11.0697, 62.9134)|(0.1500, 0.1500)#9128#0
(-11.0697, 62.9134)|(0.1500, 0.1500)#9127#1
(-11.1040, 58.0386)|(0.1500, 0.1500)#9126#1
(-11.1040, 58.0386)|(0.1500, 0.1500)#9125#0
(0.7181, 43.3864)|(0.1500, 0.1500)#9124#0
(66.7444, 14.7434)|(2.0000, 2.0000)#9123#0
(68.1929, 20.7016)|(2.0000, 2.0000)#9122#0
(25.8355, 21.6316)|(0.1500, 0.1500)#9036#1
(40.0418, 18.8583)|(0.1500, 0.1500)#9035#1
(51.1329, 19.5813)|(0.1500, 0.1500)#9034#1
(55.6015, 15.7714)|(0.1500, 0.1500)#9033#1
(55.2956, 22.1702)|(0.1500, 0.1500)#9032#1
(54.2259, 27.9767)|(0.1500, 0.1500)#9031#1
(78.1809, 15.7526)|(0.1500, 0.1500)#9030#1
(82.4788, 15.6362)|(0.1500, 0.1500)#9029#1
(83.9219, 19.8765)|(0.1500, 0.1500)#9028#1
(80.6437, 25.0090)|(0.1500, 0.1500)#9027#1
(82.3343, 29.4634)|(0.1500, 0.1500)#9026#1
(66.8539, 20.0827)|(0.1500, 0.1500)#9025#1
(-46.6384, 92.0799)|(0.1500, 0.1500)#9024#0
(-51.8581, 99.4317)|(0.1500, 0.1500)#9023#0
(-56.2168, 106.3536)|(0.1500, 0.1500)#9022#0
(-56.1915, 111.8851)|(0.1500, 0.1500)#9021#0
(15.4398, 35.5672)|(1.0402, 3.3623)#10098#1
(16.3300, 38.7795)|(1.0402, 3.3623)#10098#1
(17.2202, 41.9917)|(1.0402, 3.3623)#10098#1
(66.1803, 55.8383)|(3.0911, 0.9827)#10097#1
(63.2392, 56.6710)|(3.0911, 0.9827)#10097#1
(60.2981, 57.5037)|(3.0911, 0.9827)#10097#1
(57.3570, 58.3364)|(3.0911, 0.9827)#10097#1
(54.4160, 59.1691)|(3.0911, 0.9827)#10097#1
(51.4749, 60.0018)|(3.0911, 0.9827)#10097#1
(48.5338, 60.8345)|(3.0911, 0.9827)#10097#1
(45.5927, 61.6672)|(3.0911, 0.9827)#10097#1
(61.2302, 53.0353)|(3.1149, 0.8934)#10096#1
(58.2653, 53.7787)|(3.1149, 0.8934)#10096#1
(55.3004, 54.5221)|(3.1149, 0.8934)#10096#1
(52.3355, 55.2655)|(3.1149, 0.8934)#10096#1
(49.3706, 56.0090)|(3.1149, 0.8934)#10096#1
(46.4057, 56.7524)|(3.1149, 0.8934)#10096#1
(43.4408, 57.4958)|(3.1149, 0.8934)#10096#1
(40.4759, 58.2392)|(3.1149, 0.8934)#10096#1
(58.4094, 49.4597)|(3.1425, 0.7733)#10095#1
(55.4170, 50.0830)|(3.1425, 0.7733)#10095#1
(52.4245, 50.7064)|(3.1425, 0.7733)#10095#1
(49.4321, 51.3297)|(3.1425, 0.7733)#10095#1
(46.4396, 51.9531)|(3.1425, 0.7733)#10095#1
(43.4471, 52.5764)|(3.1425, 0.7733)#10095#1
(40.4547, 53.1998)|(3.1425, 0.7733)#10095#1
(37.4622, 53.8231)|(3.1425, 0.7733)#10095#1
(45.2732, 47.6135)|(3.7859, 0.6619)#10094#1
(41.6374, 48.1254)|(3.7859, 0.6619)#10094#1
(38.0015, 48.6373)|(3.7859, 0.6619)#10094#1
(34.3657, 49.1492)|(3.7859, 0.6619)#10094#1
(56.7376, 36.4274)|(0.3400, 3.6733)#10092#0
(56.7376, 39.7607)|(0.3400, 3.6733)#10092#0
(56.7376, 43.0940)|(0.3400, 3.6733)#10092#0
(19.5070, 30.5019)|(3.1670, 0.3625)#10091#0
(22.5240, 30.2894)|(3.1670, 0.3625)#10091#0
(25.5410, 30.0769)|(3.1670, 0.3625)#10091#0
(28.5580, 29.8644)|(3.1670, 0.3625)#10091#0
(31.5750, 29.6520)|(3.1670, 0.3625)#10091#0
(34.5920, 29.4395)|(3.1670, 0.3625)#10091#0
(37.6089, 29.2270)|(3.1670, 0.3625)#10091#0
(40.6259, 29.0145)|(3.1670, 0.3625)#10091#0
(6.9819, 40.6464)|(5.3966, 3.9619)#10199#0
(5.2256, 35.6566)|(2.4240, 6.3178)#10199#0
(9.6052, 32.0459)|(6.6352, 1.2036)#10199#0
(13.9848, 35.6566)|(2.4240, 6.3178)#10199#0
(12.2285, 40.6464)|(5.3966, 3.9619)#10199#0
(7.7328, 61.5309)|(5.7553, 4.4549)#10198#0
(6.1410, 57.0083)|(3.0611, 6.5902)#10198#0
(10.1105, 53.7358)|(6.8779, 1.9549)#10198#0
(14.0800, 57.0083)|(3.0611, 6.5902)#10198#0
(12.4881, 61.5309)|(5.7553, 4.4549)#10198#0
(5.1047, 101.1521)|(4.9053, 3.6049)#10197#1
(3.5129, 96.6295)|(2.2111, 5.7402)#10197#1
(7.4823, 93.3570)|(6.0279, 1.1049)#10197#1
(11.4518, 96.6295)|(2.2111, 5.7402)#10197#1
(9.8600, 101.1521)|(4.9053, 3.6049)#10197#1
(3.8371, 106.6653)|(7.4282, 3.1647)#10196#1
(-1.3093, 101.5188)|(3.1647, 7.4282)#10196#1
(-1.3093, 94.2407)|(3.1647, 7.4282)#10196#1
(3.8371, 89.0942)|(7.4282, 3.1647)#10196#1
(11.1153, 89.0942)|(7.4282, 3.1647)#10196#1
(16.2617, 94.2407)|(3.1647, 7.4281)#10196#1
(16.2617, 101.5188)|(3.1647, 7.4282)#10196#1
(11.1153, 106.6653)|(7.4282, 3.1647)#10196#1
(-52.1922, 58.3771)|(2.3307, 4.5113)#10191#0
(-50.0115, 58.3771)|(2.3307, 4.5113)#10191#0
(-43.1283, 58.4780)|(2.3307, 4.5113)#10190#0
(-40.9477, 58.4780)|(2.3307, 4.5113)#10190#0
(39.9173, 37.4935)|(3.1942, 6.0484)#10189#0
(42.7715, 37.4935)|(3.1942, 6.0484)#10189#0
(-43.4250, 21.5700)|(7.8537, 4.8190)#10188#1
(-47.1685, 16.9934)|(3.6335, 8.3342)#10188#1
(-45.7721, 11.2864)|(6.0509, 7.0797)#10188#1
(-40.4981, 8.3759)|(8.4971, 2.7415)#10188#1
(-35.2241, 11.2864)|(6.0509, 7.0797)#10188#1
(-33.8276, 16.9934)|(3.6335, 8.3342)#10188#1
(-37.5712, 21.5700)|(7.8537, 4.8190)#10188#1
(16.6188, 92.2461)|(4.9053, 3.6049)#10187#0
(15.0270, 87.7236)|(2.2111, 5.7402)#10187#0
(18.9965, 84.4511)|(6.0279, 1.1049)#10187#0
(22.9659, 87.7236)|(2.2111, 5.7402)#10187#0
(21.3741, 92.2461)|(4.9053, 3.6049)#10187#0
(-6.0741, 92.2390)|(4.9053, 3.6049)#10186#0
(-7.6659, 87.7164)|(2.2111, 5.7402)#10186#0
(-3.6965, 84.4439)|(6.0279, 1.1049)#10186#0
(0.2730, 87.7164)|(2.2111, 5.7402)#10186#0
(-1.3188, 92.2390)|(4.9053, 3.6049)#10186#0
(-76.8723, 29.2091)|(4.9053, 3.6049)#10178#1
(-78.4642, 24.6866)|(2.2111, 5.7402)#10178#1
(-74.4947, 21.4140)|(6.0278, 1.1049)#10178#1
(-70.5252, 24.6866)|(2.2111, 5.7402)#10178#1
(-72.1171, 29.2091)|(4.9053, 3.6049)#10178#1
(-77.7857, 33.8594)|(7.9627, 4.1184)#10177#1
(-82.4263, 29.2188)|(4.1184, 7.9627)#10177#1
(-82.4263, 22.6561)|(4.1184, 7.9627)#10177#1
(-77.7857, 18.0155)|(7.9627, 4.1184)#10177#1
(-71.2230, 18.0155)|(7.9627, 4.1184)#10177#1
(-66.5824, 22.6561)|(4.1184, 7.9627)#10177#1
(-66.5824, 29.2188)|(4.1184, 7.9627)#10177#1
(-71.2230, 33.8594)|(7.9627, 4.1184)#10177#1
(-27.7285, 24.7405)|(7.7738, 3.3079)#10176#0
(-33.1194, 19.3497)|(3.3079, 7.7738)#10176#0
(-33.1194, 11.7259)|(3.3079, 7.7738)#10176#0
(-27.7285, 6.3351)|(7.7738, 3.3079)#10176#0
(-20.1047, 6.3351)|(7.7738, 3.3079)#10176#0
(-14.7139, 11.7259)|(3.3079, 7.7738)#10176#0
(-14.7139, 19.3497)|(3.3079, 7.7738)#10176#0
(-20.1047, 24.7405)|(7.7738, 3.3079)#10176#0
(-26.7689, 20.5181)|(5.8236, 3.4256)#10175#0
(-30.0445, 15.6046)|(1.0277, 6.7013)#10175#0
(-26.7689, 10.6912)|(5.8236, 3.4256)#10175#0
(-21.0953, 10.6912)|(5.8236, 3.4256)#10175#0
(-17.8197, 15.6046)|(1.0277, 6.7013)#10175#0
(-21.0953, 20.5181)|(5.8236, 3.4256)#10175#0
(21.7273, 52.7468)|(1.7414, 2.7848)#10299#0
(23.5708, 50.3021)|(2.2457, 2.4045)#10299#0
